shop,name,url,price,score,trading,review
美珑美利家居旗舰店,美珑美利 锐朗6件套刀 厨房刀具套装菜刀德国进口不锈钢锋利套刀,https://detail.tmall.com/item.htm?id=40721499921&skuId=3207534761085&user_id=842743389&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,299.00,2041.0,329笔,1383
坤川家居专营店,张小泉刀具不锈钢切片刀家用厨房菜刀切菜刀切肉刀厨房刀水果刀,https://detail.tmall.com/item.htm?id=530447665929&skuId=3159189187227&user_id=687723539&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,69.00,6145.0,1344笔,3457
周家刀旗舰店,手工锻打砍骨刀周家刀切片刀砍骨刀菜刀整钢锻打DIY刀具朵格刀,https://detail.tmall.com/item.htm?id=521494538237&skuId=3236109000097&user_id=2421072120&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,120.00,789.0,188笔,413
newair维艾麦威专卖店,维艾不锈钢刀具套装厨房厨具套刀菜刀套装全套家用不锈钢组合德国,https://detail.tmall.com/item.htm?id=25539980579&skuId=3218298441526&user_id=1697657691&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,199.00,24694.0,3847笔,1.7万
美味谷旗舰店,德国双立人TWIN Point红点刀具菜刀磁性刀架套装厨房不锈钢刀组合,https://detail.tmall.com/item.htm?id=542236585602&skuId=4611686560663973506&user_id=2872938504&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,899.00,68.0,32笔,4
bayco拜格旗舰店,拜格德国不锈钢刀具套装厨具菜刀全套家用套刀水果刀组合厨房用品,https://detail.tmall.com/item.htm?id=538288728742&skuId=3215439909397&user_id=1113302587&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,149.00,8206.0,3216笔,1774
小卡家居专营店,十八子作菜刀套装家用厨房不锈钢刀具套装锋利剁骨刀砍骨刀切片刀,https://detail.tmall.com/item.htm?id=539757057603&skuId=3235270809089&user_id=2986971171&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,128.00,3130.0,1421笔,288
kai贝印恩科专卖店,shun 旬刀 日本大马士革钢 刀具 主厨刀 厨房用品中华菜刀DM-0712,https://detail.tmall.com/item.htm?id=527306895474&skuId=4611686545734283378&user_id=2680105814&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,1259.00,237.0,56笔,125
禾易家居专营店,德国工艺刀具套装 厨房套刀 菜刀套装 厨具菜刀全套家用锅铲11件,https://detail.tmall.com/item.htm?id=538959968802&skuId=3201480438243&user_id=844811121&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,99.00,7184.0,3183笔,818
伦旭家居专营店,张小泉菜刀 家用不锈钢切菜刀厨房刀具切片刀手工锋利开刃 菜刀,https://detail.tmall.com/item.htm?id=525244788661&skuId=3421552263057&user_id=2452862926&cat_id=2&is_b=1&rn=d8043c7d8ae817a43523bcb3f9f7d732,39.00,2345.0,700笔,945
